variable,iqr_outliers_number,number_of_nonmissing,rule_used,action_performed
LH IU/l,0,45,1.5xIQR,flag_only
MDRD GFR (MDRD),0,104,1.5xIQR,flag_only
Kortyzol po Dexamethasonie [4mg] (KOR4DXM),0,3,1.5xIQR,flag_only
LH 0' 30' 60' (LH0),0,15,1.5xIQR,flag_only
Kortyzol na czczo (KORCZ),0,1,1.5xIQR,flag_only
"Jonogram (Sód, potas, chlorki) (L_K)",0,84,1.5xIQR,flag_only
Fibrynogen (L_FIB),0,3,1.5xIQR,flag_only
Fosforany nieorganiczne (FOSFOR),0,2,1.5xIQR,flag_only
Ferrytyna (L05),0,1,1.5xIQR,flag_only
IGF-1 (insulinopodobny czynnik wzrostu 1) (IGF1_L),0,1,1.5xIQR,flag_only
Hemoglobina glikowana (L53.IFC),0,4,1.5xIQR,flag_only
Hemoglobina glikowana (L55),0,4,1.5xIQR,flag_only
FSH 0' 30' 60' (L_FSH0),0,15,1.5xIQR,flag_only
GH (hormon wzrostu) (L_GH),0,1,1.5xIQR,flag_only
FSH 0' 30' 60' (L_FSH30),0,15,1.5xIQR,flag_only
FSH 0' 30' 60' (L_FSH60),0,15,1.5xIQR,flag_only
Glukoza (L_GLU),0,2,1.5xIQR,flag_only
Ferrytyna (FERR),0,2,1.5xIQR,flag_only
ASO - ilościowo (ASOIL),0,1,1.5xIQR,flag_only
BMI kg/m2,0,45,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G1030),0,7,1.5xIQR,flag_only
D-dimery (DDIMER),0,2,1.5xIQR,flag_only
Ca19.9 (CA199),0,1,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G2100),0,7,1.5xIQR,flag_only
Morfologia CBC (PLT),0,44,1.5xIQR,flag_only
Neu 10^3/uL,0,45,1.5xIQR,flag_only
P/c przeciw receptorowi TSH (TRAb) (O15) (TRAB),0,2,1.5xIQR,flag_only
Morfologia CBC (PLCR),0,44,1.5xIQR,flag_only
Test Roma (CA125),0,8,1.5xIQR,flag_only
TSH uIU/ml,0,45,1.5xIQR,flag_only
TK jamy brzusznej i miednicy z kontrastem (nan),0,0,1.5xIQR,flag_only
TK jamy brzusznej z kontrastem (nan),0,0,1.5xIQR,flag_only
SHBG (SHGB),0,1,1.5xIQR,flag_only
Protrombina (PT) (PTAKT),0,5,1.5xIQR,flag_only
"RTG kości nadgarstka, PA, bok (nan)",0,0,1.5xIQR,flag_only
Rok KG,0,1286,1.5xIQR,flag_only
Procent odzysku prolaktyny po precypitacji (MAKROPRL),0,14,1.5xIQR,flag_only
PRL ng/ml,0,45,1.5xIQR,flag_only
Protrombina (PT) (PTCZAS),0,5,1.5xIQR,flag_only
Nr KG,0,1286,1.5xIQR,flag_only
NLR,0,0,1.5xIQR,flag_only
PRL 10:00 i 10:00 po PEG (PRL10PEG),0,1,1.5xIQR,flag_only
PLR,0,0,1.5xIQR,flag_only
PRL 10:00 i 10:00 po PEG (PRL10),0,1,1.5xIQR,flag_only
P/c przeciw GAD (p/c p. dekarbosylazie kwasu glutaminowego) (PCGAD),0,2,1.5xIQR,flag_only
kortyzol 8.00 ug/dl,0,45,1.5xIQR,flag_only
Wymaz z kanału szyjki macicy - posiew tlenowy (Wynik badania),0,0,1.5xIQR,flag_only
Żelazo (FE),0,3,1.5xIQR,flag_only
Wapń zjonizowany (surowica) (L_CAZJS),0,1,1.5xIQR,flag_only
Wapń całkowity (TCAL),0,2,1.5xIQR,flag_only
USG tarczycy i przytarczyc (nan),0,0,1.5xIQR,flag_only
Wymaz z kanału szyjki macicy - posiew mykologiczny (Wynik badania),0,0,1.5xIQR,flag_only
Test Roma (ROMAPR),0,2,1.5xIQR,flag_only
Test Roma (I41),0,2,1.5xIQR,flag_only
Test Roma (POMENOP),0,8,1.5xIQR,flag_only
USG brzucha i przestrzeni zaotrzewnowej (nan),0,0,1.5xIQR,flag_only
USG nadnerczy (nan),0,0,1.5xIQR,flag_only
USG piersi (nan),0,0,1.5xIQR,flag_only
USG wątroby – elastografia (nan),0,0,1.5xIQR,flag_only
Test Roma (ROMAPO),0,2,1.5xIQR,flag_only
