Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
cortisol_8am_ug_dL,Cortisol_8AM,float64,μg/dL,[],False,,,,"['Kortyzol godz. 08:00 (KOR)', 'kortyzol 8.00 ug/dl']",,,1210,1331,474,False,"['Consolidated from: Kortyzol godz. 08:00 (KOR), kortyzol 8.00 ug/dl']",,cortisol_8am_ug_dL,,False,,,keep,False,False,True
dheas_ug_dL,DHEAS,float64,μg/dL,[],False,,,,"['DHEAS (DHEA)', 'DHEAS ug/dl']",,,1216,1331,608,False,"['Consolidated from: DHEAS (DHEA), DHEAS ug/dl']",,dheas_ug_dL,,False,,,keep,False,False,True
fsh_iu_l,FSH,float64,IU/L,[],False,,,,"['FSH IU/l', 'FSH (FSH)']",,,1213,1331,518,False,"['Consolidated from: FSH IU/l, FSH (FSH)']",,fsh_iu_l,,False,,,keep,False,False,True
glucose_fasting_mg_dL,Glucose_Fasting,float64,mg/dL,[],False,,,,"['Krzywa cukrowa - 2 punktowa (L_GLU_0)', ""glu 0' mg/dl""]",,,1195,1331,259,False,"[""Consolidated from: Krzywa cukrowa - 2 punktowa (L_GLU_0), glu 0' mg/dl""]",,glucose_fasting_mg_dL,,False,,,keep,False,False,True
hematocrit_percent,Hematocrit,float64,%,[],False,,,,"['Morfologia CBC (HCT)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)']",,,945,1331,143,False,"['Consolidated from: Morfologia CBC (HCT), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)']",PCOS,hematocrit_percent,,False,,,keep,False,False,True
hemoglobin_g_dL,Hemoglobin,float64,g/dL,[],False,,,,"['Morfologia CBC (HGB)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)']",,,945,1331,61,False,"['Consolidated from: Morfologia CBC (HGB), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)']",PCOS,hemoglobin_g_dL,,False,,,keep,False,False,True
insulin_fasting_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,"['Insulina (INSUL)', 'Insulina po 75g glukozy (3pkt.) (INSUL_0)', 'Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)', 'Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)', 'insulina uU/ml']",,,1156,1331,591,False,"['Consolidated from: Insulina (INSUL), Insulina po 75g glukozy (3pkt.) (INSUL_0), Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m), Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0), insulina uU/ml']",,insulin_fasting_uU_ml,,False,,,keep,False,False,True
insulin_30min_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,"['Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)', 'Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)']",,,144,1331,136,False,"['Consolidated from: Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m), Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)']",PCOS,insulin_30min_uU_ml,,False,,,keep,False,False,True
insulin_60min_3pt_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,['Insulina po 75g glukozy (3pkt.) (INSUL_1)'],,,221,1331,185,False,['Consolidated from: Insulina po 75g glukozy (3pkt.) (INSUL_1)'],PCOS,insulin_60min_3pt_uU_ml,,False,,,keep,False,False,True
insulin_60min_4pt_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,"['Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)', 'Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)']",,,145,1331,129,False,"['Consolidated from: Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m), Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)']",PCOS,insulin_60min_4pt_uU_ml,,False,,,keep,False,False,True
insulin_120min_3pt_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,['Insulina po 75g glukozy (3pkt.) (INSUL_2)'],,,221,1331,194,False,['Consolidated from: Insulina po 75g glukozy (3pkt.) (INSUL_2)'],PCOS,insulin_120min_3pt_uU_ml,,False,,,keep,False,False,True
insulin_120min_4pt_uU_ml,Insulin_Fasting,float64,μU/mL,[],False,,,,"['Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)']",,,83,1331,75,False,"['Consolidated from: Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)']",PCOS,insulin_120min_4pt_uU_ml,,False,,,keep,False,False,True
lh_iu_l,LH,float64,IU/L,[],False,,,,"['LH (LH)', 'LH IU/l']",,,1213,1331,704,False,"['Consolidated from: LH (LH), LH IU/l']",,lh_iu_l,,False,,,keep,False,False,True
lymphocytes_abs_10_3_uL,Lymphocytes,float64,10^3/uL,[],False,,,,"['Limf 10^3/uL', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)']",,,946,1331,271,False,"['Consolidated from: Limf 10^3/uL, Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)']",,lymphocytes_abs_10_3_uL,,False,,,keep,False,False,True
mch_pg,MCH,float64,pg,[],False,,,,"['Morfologia CBC (MCH)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)']",,,945,1331,97,False,"['Consolidated from: Morfologia CBC (MCH), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)']",PCOS,mch_pg,,False,,,keep,False,False,True
mchc_g_dL,MCHC,float64,g/dL,[],False,,,,"['Morfologia CBC (MCHC)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)']",,,945,1331,62,False,"['Consolidated from: Morfologia CBC (MCHC), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)']",PCOS,mchc_g_dL,,False,,,keep,False,False,True
